Title,Duration,Budget,Reviews_by_Users,IMDB_Score,Gross_Earnings
City by the Sea,108,60000000,166,6.2,22433915
Bamboozled,135,10000000,186,6.5,2185266
The Big Bounce,88,50000000,93,4.9,6471394
Monster,109,4500000,533,7.3,34468224
Lucky Numbers,105,65000000,69,5,10014234
Welcome to the Sticks,106,11000000,49,7.1,245144417
The Butterfly Effect,120,13000000,1100,7.7,23947
Thir13en Ghosts,91,20000000,478,5.5,41867960
Thank You for Smoking,92,6500000,323,7.6,24792061
Martian Child,106,27000000,71,6.8,7486906
Shaun of the Dead,99,4000000,859,8,13464388
Tristram Shandy: A Cock and Bull Story,94,2800000,123,6.8,1247453
Bad Lieutenant: Port of Call New Orleans,122,20000000,212,6.7,1697956
Knocked Up,133,30000000,559,7,148734225
Redacted,90,5000000,108,6.2,65087
The Time Traveler's Wife,107,39000000,234,7.1,63411478
Session 9,100,1500000,481,6.5,373967
I Spy,97,70000000,141,5.4,33105600
The Medallion,108,41000000,132,5.2,22108977
Kill Bill: Vol. 1,111,30000000,2105,8.1,70098138
Northfork,103,1900000,122,6.4,1420578
Australia,165,130000000,450,6.6,49551662
The Sisterhood of the Traveling Pants,119,25000000,223,6.6,39008741
Driving Lessons,98,4700000,70,6.8,238774
The Mummy Returns,130,98000000,890,6.3,202007640
16 Blocks,102,52000000,305,6.6,36883539
Miss March,90,6000000,73,5.1,4542775
Hey Arnold! The Movie,76,3000000,43,5.9,13684949
Arnolds Park,103,600000,4,5.6,23616
Hannah Montana: The Movie,102,30000000,140,4.2,79566871
Chicago,113,45000000,1017,7.2,170684505
Hoodwinked!,80,17500000,247,6.5,51053787
Step Up,104,12000000,271,6.5,65269010
Stan Helsing,90,365000,66,3.6,1553556
Derailed,112,22000000,375,6.6,36020063
Star Wars: Episode III - Revenge of the Sith,140,113000000,3286,7.6,380262555
The Animal,84,22000000,132,4.8,55762229
The Contender,126,20000000,370,7,17804273
Lara Croft: Tomb Raider,100,115000000,824,5.7,131144183
Hulk,138,137000000,1445,5.7,132122995
The Slaughter Rule,112,500000,32,6.1,13134
Goal! The Dream Begins,118,10000000,114,6.8,4280577
40 Days and 40 Nights,96,17000000,207,5.6,37939782
Flags of Our Fathers,135,90000000,415,7.1,33574332
Adaptation.,81,19000000,710,7.7,22245861
RocknRolla,114,18000000,192,7.3,5694401
ATL,105,20000000,92,6,21160089
Ocean's Thirteen,122,85000000,288,6.9,117144465
Dark Blue,118,15000000,125,6.6,9059588
Shark Tale,90,75000000,288,6,160762022
Flightplan,98,55000000,600,6.2,89706988
The Savages,114,9000000,127,7.2,6610326
Glitter,104,22000000,308,2.1,4273372
Panic Room,112,48000000,850,6.8,95308367
In Her Line of Fire,88,1000000,12,4.1,721
We Own the Night,117,21000000,199,6.9,28563179
In the Bedroom,138,1700000,510,7.5,35918429
Club Dread,119,8550000,201,5.6,4992159
State of Play,127,60000000,235,7.1,36965395
Mirrors,112,35000000,232,6.2,30691439
This Thing of Ours,100,2000000,18,5.4,37227
Bridge to Terabithia,96,17000000,522,7.2,82234139
Flash of Genius,119,20000000,45,7,4234040
Cheaper by the Dozen 2,94,60000000,128,5.4,82569532
Code 46,93,7500000,150,6.3,197148
Gun Shy,101,10000000,91,5.7,1631839
Chasing Papi,76,9000000,41,4.8,6126237
Made,95,5000000,165,6.4,5308707
The Devil's Rejects,109,7000000,687,6.9,16901126
The History Boys,109,2000000,172,6.9,2706659
Triangle,99,12000000,293,6.9,1594955
Lars and the Real Girl,106,12000000,299,7.4,5949693
Public Enemies,140,100000000,585,7,97030725
Bridget Jones: The Edge of Reason,108,40000000,259,5.9,40203020
Double Take,88,24000000,50,5.3,20218
The New Guy,92,13000000,159,5.9,28972187
The Yards,115,24000000,138,6.4,882710
Just My Luck,103,28000000,149,5.3,17324744
Ghost World,111,7000000,488,7.4,6200756
Made of Honor,101,40000000,101,5.8,46012734
Doubt,104,20000000,321,7.5,33422556
The Kid,104,60000000,139,6.1,69688384
Religulous,101,2500000,345,7.7,12995673
Pooh's Heffalump Movie,68,20000000,32,6.4,18081626
Eight Legged Freaks,99,30000000,291,5.4,17266505
In the Land of Women,97,10000000,74,6.5,11043445
Phone Booth,81,13000000,629,7.1,46563158
Man of the Year,115,20000000,236,6.2,37442180
Year One,100,60000000,203,4.9,43337279
Harry Potter and the Order of the Phoenix,138,150000000,1108,7.5,292000866
"Dude, Where's My Car?",83,13000000,469,5.5,46729374
Herbie Fully Loaded,101,50000000,168,4.7,66002004
Undiscovered,97,9000000,45,4.2,1046166
Old School,88,24000000,404,7.2,74608545
Clean,110,4500,39,6.9,136007
Fat Albert,93,26000000,91,4.3,48114556
Narc,105,7500000,214,7.2,10460089
Walk the Line,153,28000000,815,7.9,119518352
Brooklyn's Finest,132,17000000,138,6.7,27154426
Monsters vs. Aliens,94,175000000,187,6.5,198332128
Someone Like You...,97,23000000,167,6.1,27338033
Monster-in-Law,101,60000000,228,5.5,82931301
What Lies Beneath,130,100000000,683,6.6,155370362
The Original Kings of Comedy,115,3000000,83,6.6,38168022
Harold & Kumar Go to White Castle,88,9000000,316,7.1,18225165
Stomp the Yard,109,14000000,162,5.2,61356221
Hollywood Ending,112,16000000,148,6.6,4839383
Evan Almighty,96,175000000,257,5.4,100289690
Better Luck Tomorrow,98,250000,138,7.2,3799339
[Rec] 2,85,5600000,148,6.6,27024
Return to Never Land,72,20000000,79,5.8,48423368
Superbad,119,20000000,555,7.6,121463226
Race to Witch Mountain,98,65000000,110,5.7,67128202
The Orphanage,105,3400000,308,7.5,7159147
BloodRayne,92,25000000,471,2.9,1550000
Something's Gotta Give,128,80000000,402,6.7,124590960
A.I. Artificial Intelligence,146,100000000,2153,7.1,78616689
You Got Served,95,8000000,247,3.5,40066497
Revolutionary Road,119,35000000,414,7.3,22877808
Finding Neverland,101,25000000,632,7.8,51676606
Underclassman,95,25000000,26,4.1,5654777
