Title,Duration,Budget,Reviews_by_Users,IMDB_Score,Gross_Earnings
Cypher,95,7500000,124,6.8,898365
Dark Blue,118,15000000,125,6.6,9059588
Darkness,103,10600000,349,5.4,22160085
Death to Smoochy,109,55000000,341,6.4,8355815
Deuces Wild,96,10000000,92,5.6,6044618
Die Another Day,133,142000000,1185,6.1,160201106
Dirty Pretty Things,97,10000000,203,7.4,8111360
Divine Secrets of the Ya-Ya Sisterhood,116,27000000,199,6,69586544
Dracula: Pages from a Virgin's Diary,73,1600000,32,7,39659
Dragonfly,104,60000000,243,6.1,30063805
Drumline,118,20000000,185,5.7,56398162
Eight Legged Freaks,99,30000000,291,5.4,17266505
El crimen del padre Amaro,118,1800000,110,6.8,5709616
Enough,115,38000000,234,5.6,39177215
Equilibrium,107,20000000,1137,7.5,1190018
Extreme Ops,93,40000000,82,4.5,4835968
Eye See You,96,55000000,142,5.3,6632383
Fabled,84,400000,10,5.8,25918
Far from Heaven,107,13500000,378,7.4,15854988
Feardotcom,101,42000000,388,3.3,13208023
Femme Fatale,114,35000000,232,6.3,6592103
Frida,123,12000000,271,7.4,25776062
Friday After Next,85,20000000,66,5.8,32983713
Full Frontal,101,2000000,172,4.7,2506446
Funny Ha Ha,85,30000,61,6.4,88078
Gangs of New York,216,100000000,1166,7.5,77679638
Gerry,103,3500000,290,6.2,236266
Ghost Ship,91,35000000,474,5.5,30079316
Half Past Dead,98,13000000,132,4.6,15361537
Halloween: Resurrection,94,15000000,614,4.1,30259652
Harry Potter and the Chamber of Secrets,174,100000000,858,7.4,261970615
Hart's War,125,60000000,196,6.3,19076815
Hey Arnold! The Movie,76,3000000,43,5.9,13684949
High Crimes,115,42000000,175,6.3,41543207
Hollywood Ending,112,16000000,148,6.6,4839383
I Spy,97,70000000,141,5.4,33105600
Ice Age,103,59000000,467,7.6,176387405
Igby Goes Down,99,9000000,238,7,4681503
Insomnia,118,46000000,651,7.2,67263182
Interview with the Assassin,88,750000,31,6.6,47329
Irreversible,99,5400000,664,7.4,753501
Jackass: The Movie,87,5000000,327,6.6,64267897
John Q,116,36000000,394,7,71026631
Jonah: A VeggieTales Movie,82,14000000,78,6.6,25571351
Juwanna Mann,91,15600000,40,4.5,13571817
K-19: The Widowmaker,138,100000000,278,6.7,35168677
Kung Pow: Enter the Fist,81,10000000,518,6.2,16033556
L'auberge espagnole,111,5300000,149,7.3,3895664
Life or Something Like It,103,40000000,128,5.8,14448589
Like Mike,99,30000000,72,5.1,51432423
Lilo & Stitch,85,80000000,367,7.2,145771527
Maid in Manhattan,105,55000000,242,5.1,93815117
Martin Lawrence Live: Runteldat,113,3000000,35,5.4,19184015
May,93,500000,277,6.7,145540
Men in Black II,88,140000000,606,6.1,190418803
Men with Brooms,102,7500000,83,6,4239767
Minority Report,145,102000000,1331,7.7,132014112
Mondays in the Sun,113,4000000,38,7.7,146402
Moonlight Mile,112,21000000,147,6.7,6830957
Morvern Callar,97,6000000,111,6.7,267194
Mr. Deeds,96,50000000,309,5.8,126203320
Murder by Numbers,115,50000000,302,6.1,31874869
My Big Fat Greek Wedding,95,5000000,756,6.6,241437427
Narc,105,7500000,214,7.2,10460089
Nicholas Nickleby,132,10000000,103,7.2,1309849
One Hour Photo,96,12000000,605,6.8,31597131
Panic Room,112,48000000,850,6.8,95308367
People I Know,100,22000000,81,5.5,121972
Phone Booth,81,13000000,629,7.1,46563158
Poolhall Junkies,99,4000000,113,7,562059
Punch-Drunk Love,95,25000000,888,7.3,17791031
Queen of the Damned,101,35000000,695,5.2,30307804
Raising Victor Vargas,88,800000,135,7.2,2073984
Real Women Have Curves,90,3000000,109,7,5844929
Red Dragon,124,78000000,764,7.2,92930005
Reign of Fire,101,60000000,569,6.2,43060566
Resident Evil,100,33000000,1138,6.7,39532308
Return to Never Land,72,20000000,79,5.8,48423368
Ripley's Game,110,30000000,108,6.7,6200970
Road to Perdition,117,80000000,1009,7.7,104054514
Rollerball,98,70000000,289,3,18990542
Scooby-Doo,86,84000000,521,4.9,153288182
Secretary,104,4000000,390,7.1,4046737
Serving Sara,99,29000000,101,5.3,16930185
Signs,106,72000000,2335,6.7,227965690
Slackers,86,11000000,107,5.3,4814244
